content,cleaned,category,appVersion,at
fraud,fraud,Other,19.2.1,16-10-2025 18:44
one of the worst company they scam customers and their delivery partners pls stop ordering from these platforms not India's first Indias worst company fraud they took my 319 rs,one worst company scam customers delivery partners pls stop ordering platforms indias first indias worst company fraud took rs,Late Delivery,19.2.1,16-10-2025 18:44
don't order this platform after 11 pm fraud,dont order platform pm fraud,Late Delivery,,16-10-2025 18:35
"No reliable helpline for grievance addresses. I got scammed by the delivery partner, he basically told me that because I delayed in getting in touch with him my order was cancelled by zomato. The solution offered by zomato was the chat option with the closing solution of calling the same delivery partner who is not responding or just that they are sorry and would strive to be better. I don't deny my part in delayed contact with delivery partner but they won't even offer a helpline for an issue.",reliable helpline grievance addresses got scammed delivery partner basically told delayed getting touch order cancelled zomato solution offered zomato chat option closing solution calling delivery partner responding sorry would strive better dont deny part delayed contact delivery partner wont even offer helpline issue,"Late Delivery, Wrong/Missing Items, Customer Support",19.2.2,16-10-2025 18:24
too poor,poor,Other,19.2.2,16-10-2025 18:19
worst customer care support,worst customer care support,Customer Support,,16-10-2025 17:59
delivery delayed for more than one hour,delivery delayed one hour,Late Delivery,19.1.8,16-10-2025 17:58
delivery boy ki bike kharab hone pr mujh to order nhi pahuncha or jb Maine order cancel Kiya to refund ka amount bhi wapis nhi aaya,delivery boy ki bike kharab hone pr mujh order nhi pahuncha jb maine order cancel kiya refund ka amount bhi wapis nhi aaya,"Late Delivery, Payment/Refund Issues",19.2.2,16-10-2025 17:41
I don't even want to give 1 star but there is no option for zero main issue :- never ever order food on train (never) the delivery partner scams you and the whole team even the station manager is indulged in his plan to scam 3rd class app worst even Swiggy is way more better from this atleast they deliver on time and hustle free I want write some curse words but let's leave it.,dont even want give star option zero main issue never ever order food train never delivery partner scams whole team even station manager indulged plan scam rd class app worst even swiggy way better atleast deliver time hustle free want write curse words lets leave,Late Delivery,19.2.1,16-10-2025 17:41
"always show fake delivery timings during placing orders, I always get late food delivery compared to mentioned time by themselves",always show fake delivery timings placing orders always get late food delivery compared mentioned time,Late Delivery,19.2.2,16-10-2025 17:40
"if you sort by delivery time it shows 15-20mins. Post ordering the food, it shows 45 mins. such a fraud tie ups they have, no stringent set rules in place. that's the reason cloud kitchens are taking these so called biggies for granted. pathetic. Display something before order n later display something else.",sort delivery time shows mins post ordering food shows mins fraud tie ups stringent set rules place thats reason cloud kitchens taking called biggies granted pathetic display something order n later display something else,Late Delivery,19.2.1,16-10-2025 17:38
"they have completely taken out any customer care I got wrong order yet no refund, what did I even pay for ! ? how is this legal",completely taken customer care got wrong order yet refund even pay legal,"Late Delivery, Payment/Refund Issues, Wrong/Missing Items, Customer Support",,16-10-2025 17:36
i paid gold membership hoping to get my order ASAP but it was delayed several minutes.being a gold member is of no use just a waste a money😤😡,paid gold membership hoping get order asap delayed several minutesbeing gold member use waste money,"Late Delivery, Payment/Refund Issues",,16-10-2025 17:32
whenever i order something on Zomato each and every time there is something issue with the order vag nonveg or some items are missing or expired items,whenever order something zomato every time something issue order vag nonveg items missing expired items,"Late Delivery, Wrong/Missing Items",19.2.2,16-10-2025 17:31
"can't see the reviews, can't choose outlet of my choice. It seems like zomato is in a race to who would have the first downfall, and it's winning. Everybody knows they jack up the prices, but we didn't care as long as the service was good and we didn't have to deal with the restaurants, but Zomato is failing to provide basic services in the past few months. The drivers constantly pick someone else's order along with ours and the service team is of no help. Just, everything is wrong with the app.",cant see reviews cant choose outlet choice seems like zomato race would first downfall winning everybody knows jack prices didnt care long service good didnt deal restaurants zomato failing provide basic services past months drivers constantly pick someone elses order along service team help everything wrong app,"Late Delivery, High Charges / Pricing, Customer Support",19.2.2,16-10-2025 17:30
The worst experience ever. Stupidest food ordering app ever. Sucks to the core.,worst experience ever stupidest food ordering app ever sucks core,Late Delivery,19.2.2,16-10-2025 17:16
"now a days worst customer support!!!! seems like u have taken customers for granted... i ordered few dishes, resturant changed them and sent, when asked they said ordered one was not there hence we sent it.. if email to customer care they will tell we can't do anything... I am not understanding is it a temple prasad to have what ever they give.. we are paying for it.... govt should make consumer forum more friendly so that these apps will properly provide service for what's being paid..",days worst customer support seems like u taken customers granted ordered dishes resturant changed sent asked said ordered one hence sent email customer care tell cant anything understanding temple prasad ever give paying govt make consumer forum friendly apps properly provide service whats paid,"Late Delivery, Customer Support",19.2.1,16-10-2025 17:16
not accepting cash on delivery at 10 :30pm,accepting cash delivery pm,Other,,16-10-2025 17:03
"Terrible customer service. There is no number to call them. There is only chat, and the agents abruptly end the chat if they can't resolve your issue. If items are missing in your order, Zomato takes absolutely no ownership for it. They just say they will escalate the matter and end the chat. They will neither give you a refund nor the missing food item. I'm not going to use Zomato anymore.",terrible customer service number call chat agents abruptly end chat cant resolve issue items missing order zomato takes absolutely ownership say escalate matter end chat neither give refund missing food item im going use zomato anymore,"Late Delivery, Payment/Refund Issues, Wrong/Missing Items, Customer Support",19.2.2,16-10-2025 17:00
tumhari esi tesi price btate kuch ho jb order kro tab kuch or ata h free delevery dete ni ho band kr do apna aap,tumhari esi tesi price btate kuch ho jb order kro tab kuch ata h free delevery dete ni ho band kr apna aap,"Late Delivery, High Charges / Pricing",19.1.2,16-10-2025 16:59
worst services they deliberately deliver wrong items then offer a coupon for it never order food from this application waste of money and time,worst services deliberately deliver wrong items offer coupon never order food application waste money time,"Late Delivery, Payment/Refund Issues, Wrong/Missing Items, Customer Support",19.2.2,16-10-2025 16:58
owner aa sakta h. kya mere location me.. sath me beth kar order hai.. woh usko leke b jaoga.. rate dek k pagal woh jayega.. woh.. apni income source b pata chal jayegi,owner aa sakta h kya mere location sath beth kar order hai woh usko leke b jaoga rate dek k pagal woh jayega woh apni income source b pata chal jayegi,Late Delivery,19.2.2,16-10-2025 16:49
After 1 hour restaurant cancelled the order. Then why your partner accepted the order. that's how you people entertain your customer. calling delivery partner he also not picking up call. ridiculous,hour restaurant cancelled order partner accepted order thats people entertain customer calling delivery partner also picking call ridiculous,Late Delivery,19.2.2,16-10-2025 16:48
I wish there was an option of negative rating They delay the order every time and don't even provide a refund or a compensation It's difficult to speak to a human as well bcz of their stupid bot The agents are so rude,wish option negative rating delay order every time dont even provide refund compensation difficult speak human well bcz stupid bot agents rude,"Late Delivery, Payment/Refund Issues",19.1.8,16-10-2025 16:23
very poor service nowadays. you guys need to increase delivery partners and your customer care support. within 5 mins of my talk with the support executive my delivery time increased by 15 mins. The explanation which I got is its group delivery. The funny part is the delivery partner went just outside of my society gate to complete another order but still he did not deliver my order.,poor service nowadays guys need increase delivery partners customer care support within mins talk support executive delivery time increased mins explanation got group delivery funny part delivery partner went outside society gate complete another order still deliver order,"Late Delivery, Wrong/Missing Items, Customer Support",19.2.2,16-10-2025 15:57
"Unfortunately, my recent experience with zomato was subpar. The service was slow, and the overall experience was disappointing. I hope the team takes steps to improve the service quality.",unfortunately recent experience zomato subpar service slow overall experience disappointing hope team takes steps improve service quality,"Late Delivery, Customer Support",,16-10-2025 15:57
worst delivery timing they are taking 2 to 3 delivery at the same time I got my delivery after 1:30 hrs only,worst delivery timing taking delivery time got delivery hrs,"Late Delivery, Wrong/Missing Items",,16-10-2025 15:49
"hate this app now, increase random prices day by day , 2 days ago there was no resturant packing charges and today while I was going to order there's a huge packaging charge , what is this zomato have some shame, think before looting money from people...!!!",hate app increase random prices day day days ago resturant packing charges today going order theres huge packaging charge zomato shame think looting money people,"Late Delivery, Payment/Refund Issues, High Charges / Pricing",19.1.8,16-10-2025 15:40
very bad,bad,Other,,16-10-2025 15:19
"Extremely disappointing experience! Received wrong food items, and even after sharing proof, Zomato support refused to help. They just said “we’ve flagged it internally” — no refund, no accountability! As a Zomato Plus member for 3 years, this broke my trust. Think twice before ordering.",extremely disappointing experience received wrong food items even sharing proof zomato support refused help said weve flagged internally refund accountability zomato plus member years broke trust think twice ordering,"Late Delivery, Payment/Refund Issues, Customer Support",19.2.1,16-10-2025 15:06
why did you remove the reviews section.... I no longer trust any restaurant. 😭,remove reviews section longer trust restaurant,Other,19.2.2,16-10-2025 14:58
Zomato gives 2 deliveries to the delivery person delaying the order. Even after paying delivery charges orders are getting delayed. Not expecting such service from zomato. still the same issue in 2025,zomato gives deliveries delivery person delaying order even paying delivery charges orders getting delayed expecting service zomato still issue,"Late Delivery, Payment/Refund Issues, Customer Support",19.2.2,16-10-2025 14:49
"I faced a cancellation issue ,but they didn't even refund,i payed amount,but I didn't get food ,1stly I am ordering more in zomato now i deleted this app for this reason",faced cancellation issue didnt even refundi payed amountbut didnt get food stly ordering zomato deleted app reason,"Late Delivery, Payment/Refund Issues",,16-10-2025 14:28
this app is very usefull for buying food at home,app usefull buying food home,Other,19.2.2,16-10-2025 14:22
zomato over priced. restorent 100 rupees zomato 149rupees what is this,zomato priced restorent rupees zomato rupees,High Charges / Pricing,19.2.2,16-10-2025 14:12
"very pethacic service .. you are saying you are not responsible for the food quality ... be ready i have spend my hard ern money .. after spending a money you are saying your not responsible, it mean some can serve pasine and you said you will not responsible",pethacic service saying responsible food quality ready spend hard ern money spending money saying responsible mean serve pasine said responsible,"Payment/Refund Issues, Customer Support",19.2.2,16-10-2025 14:12
this app is pathetic There is no direct Customer care service there we need to email and after 24-48 hours they will reply and your food money wasted i am writing this review to after facing multiple issues with the quality of food. the chatbot on the app reply you with the same response everytime what ever you share. i will never use pathetic app in my life and if anyone downloading and reading this please do not waste your time and money,app pathetic direct customer care service need email hours reply food money wasted writing review facing multiple issues quality food chatbot app reply response everytime ever share never use pathetic app life anyone downloading reading please waste time money,"Late Delivery, Payment/Refund Issues, Customer Support",13.4.3,16-10-2025 14:09
2 rupiye ka food 200 me milta hai chor hai sab,rupiye ka food milta hai chor hai sab,Other,,16-10-2025 13:58
earlier it was nice!! now there are many hidden charges & removing the review & comment option is one of the worst things.. that was the only thing people go for zomato over other food delivery apps,earlier nice many hidden charges removing review comment option one worst things thing people go zomato food delivery apps,Payment/Refund Issues,19.2.2,16-10-2025 13:40
bahut hi bekar h ye app mene ise odar kiya tha or wo cansil ho gya 1 mahine se mere pese rifand nhi kar rhe h ye log,bahut hi bekar h ye app mene ise odar kiya tha wo cansil ho gya mahine se mere pese rifand nhi kar rhe h ye log,Other,19.1.3,16-10-2025 13:39
stupid app they removed the core feature of giving and showing reviews for resturants. whichever resturants pays them they will enhance the ratings of the returants and we would get cheated by ordering from worst resturante. I will stop ordering from here henceforth,stupid app removed core feature giving showing reviews resturants whichever resturants pays enhance ratings returants would get cheated ordering worst resturante stop ordering henceforth,Late Delivery,19.2.2,16-10-2025 13:33
he to acha pr cash on delivery nhi hoti jab ghusa aata he or kisi bichare ke online payment nhi hota ho tho bichara vo kya kare,acha pr cash delivery nhi hoti jab ghusa aata kisi bichare ke online payment nhi hota ho tho bichara vo kya kare,Payment/Refund Issues,,16-10-2025 13:28
